"Area","Cod","Ind","Anno","Mese","Val"
"ITA","00000","1400",2011,7,12067536147.63
"ITA","00000","1500",2011,7,3060801486.64
"ITA","00000","1600",2011,7,12369252.79
"ITA","00000","1700",2011,7,70376737.4
"ITA","00000","1800",2011,7,2518756216.43
"ITA","00000","1900",2011,7,10738219586.81
"ITA","00000","1100",2011,8,15541521320.52
"ITA","00000","1200",2011,8,49262949715.35
"ITA","00000","1300",2011,8,50270041516.31
"ITA","00000","1400",2011,8,14534429519.56
"ITA","00000","1500",2011,8,2607037149.04
"ITA","00000","1600",2011,8,8391649.07
"ITA","00000","1700",2011,8,34934047.56
"ITA","00000","1800",2011,8,20416899.17
"ITA","00000","1900",2011,8,11060597537.53
"ITA","00000","1100",2011,9,15541611211.03
"ITA","00000","1200",2011,9,53799904947.16
"ITA","00000","1300",2011,9,55897069712.63
"ITA","00000","1400",2011,9,13444446445.56
"ITA","00000","1500",2011,9,2432990774.94
"ITA","00000","1600",2011,9,15352098.03
"ITA","00000","1700",2011,9,40934318
"ITA","00000","1800",2011,9,15078272.65
"ITA","00000","1900",2011,9,10133306858.87
"ITA","00000","1100",2011,10,15517023370.48
"ITA","00000","1200",2011,10,59204050517.1
"ITA","00000","1300",2011,10,61486431110.68
"ITA","00000","1400",2011,10,13234642776.9
"ITA","00000","1500",2011,10,2478461864.47
"ITA","00000","1600",2011,10,13292874.05
"ITA","00000","1700",2011,10,47321936.22
"ITA","00000","1800",2011,10,24649538.27
"ITA","00000","1900",2011,10,9962258845.04
"ITA","00000","1100",2011,11,15524039119.95
"ITA","00000","1200",2011,11,67979847279.98
"ITA","00000","1300",2011,11,67611976848.27
"ITA","00000","1400",2011,11,15891909551.66
"ITA","00000","1500",2011,11,2972139605.01
"ITA","00000","1600",2011,11,34991036.02
"ITA","00000","1700",2011,11,114811325.75
"ITA","00000","1800",2011,11,43070946.07
"ITA","00000","1900",2011,11,12122612572.48
"ITA","00000","1100",2011,12,15332196629.59
"ITA","00000","1200",2011,12,78811403964.83
"ITA","00000","1300",2011,12,79576483578.13
"ITA","00000","1400",2011,12,14567117016.29
"ITA","00000","1500",2011,12,3425657954.79
"ITA","00000","1600",2011,12,184327417.01
"ITA","00000","1700",2011,12,433573983.98
"ITA","00000","1800",2011,12,16452744.95
"ITA","00000","1900",2011,12,10526321478.8
"ITA","00000","1100",2012,1,14712902486.98
"ITA","00000","1200",2012,1,4889720766.27
"ITA","00000","1300",2012,1,5519712053.91
"ITA","00000","1400",2012,1,14082911199.34
"ITA","00000","1500",2012,1,3315676328.31
"ITA","00000","1600",2012,1,17357671.44
"ITA","00000","1700",2012,1,49151047.86
"ITA","00000","1800",2012,1,6826825.82
"ITA","00000","1900",2012,1,9948384939.38
"ITA","00000","1100",2012,2,14700982353.95
"ITA","00000","1200",2012,2,9361721869.83
"ITA","00000","1300",2012,2,11334103921.03
"ITA","00000","1400",2012,2,12728600302.75
"ITA","00000","1500",2012,2,1549792343.14
"ITA","00000","1600",2012,2,127588267.75
"ITA","00000","1700",2012,2,90671536.05
"ITA","00000","1800",2012,2,17857985.12
"ITA","00000","1900",2012,2,10384679719.85
"ITA","00000","1100",2012,3,14728304281.16
"ITA","00000","1200",2012,3,15432652955.14
"ITA","00000","1300",2012,3,17441708785.11
"ITA","00000","1400",2012,3,12719248451.19
"ITA","00000","1500",2012,3,1336632797.71
"ITA","00000","1600",2012,3,34091267.05
"ITA","00000","1700",2012,3,102887118.3
"ITA","00000","1800",2012,3,13192297.96
"ITA","00000","1900",2012,3,10692713927.44
"ITA","00000","1100",2012,4,14710723900.42
"ITA","00000","1200",2012,4,19967655126.16
"ITA","00000","1300",2012,4,22573567331.85
"ITA","00000","1400",2012,4,12104811694.73
"ITA","00000","1500",2012,4,501016043.13
"ITA","00000","1600",2012,4,178072828.02
"ITA","00000","1700",2012,4,186978892.81
"ITA","00000","1800",2012,4,24924706.4
"ITA","00000","1900",2012,4,10831184159.72
"ITA","00000","1100",2012,5,14700246880.31
"ITA","00000","1200",2012,5,24689279549.15
"ITA","00000","1300",2012,5,27962668537.11
"ITA","00000","1400",2012,5,11426857892.35
"ITA","00000","1500",2012,5,400031133.72
"ITA","00000","1600",2012,5,153178751.36
"ITA","00000","1700",2012,5,197677956.58
"ITA","00000","1800",2012,5,130155262.45
"ITA","00000","1900",2012,5,10311481115.47
"ITA","00000","1100",2012,6,14687408207.55
"ITA","00000","1200",2012,6,36688288793.4
"ITA","00000","1300",2012,6,35602697537.36
"ITA","00000","1400",2012,6,15772999463.59
"ITA","00000","1500",2012,6,392868711.47
"ITA","00000","1600",2012,6,199027880.54
"ITA","00000","1700",2012,6,480925312.32
"ITA","00000","1800",2012,6,104521504.21
"ITA","00000","1900",2012,6,14724497726.49
"ITA","00000","1100",2012,7,14685604683.95
"ITA","00000","1200",2012,7,41865217037.71
"ITA","00000","1300",2012,7,43061331531.36
"ITA","00000","1400",2012,7,13489490190.3
"ITA","00000","1500",2012,7,394420460.52
"ITA","00000","1600",2012,7,171601647.52
"ITA","00000","1700",2012,7,221937704.44
"ITA","00000","1800",2012,7,19480543.59
